condition_id,condition,precautions,severity
1,Conjunctivitis,Conjunctivitis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #1),Mild
2,Eczema,Eczema: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #2),Severe
3,Pancreatitis,"Pancreatitis: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #3)",Mild
4,Lung Fibrosis,Lung Fibrosis: Keep follow-up appointments and report new or worsening symptoms. (tip #4),Severe
5,Lung Fibrosis,Lung Fibrosis: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #5),Severe
6,Cellulitis,Cellulitis: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #6),Moderate
7,Arthritis,Arthritis: Maintain a balanced diet; avoid known triggers and allergens. (tip #7),Severe
8,Pharyngitis,Pharyngitis: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #8),Moderate
9,Conjunctivitis,Conjunctivitis: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #9),Severe
10,Anemia,Anemia: Avoid alcohol and smoking; adhere to medication schedule. (tip #10),Moderate
11,Gastritis,Gastritis: Keep follow-up appointments and report new or worsening symptoms. (tip #11),Severe
12,Arthritis,Arthritis: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #12),Moderate
13,COPD Exacerbation,COPD Exacerbation: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #13),Severe
14,Bronchiectasis,Bronchiectasis: Ensure adequate rest and hydration; monitor symptom progression. (tip #14),Severe
15,Irritable Bowel Syndrome,Irritable Bowel Syndrome: Maintain a balanced diet; avoid known triggers and allergens. (tip #15),Severe
16,Asthma,Asthma: Maintain a balanced diet; avoid known triggers and allergens. (tip #16),Severe
17,Heart Attack,Heart Attack: Avoid alcohol and smoking; adhere to medication schedule. (tip #17),Severe
18,Anxiety Disorder,Anxiety Disorder: Avoid alcohol and smoking; adhere to medication schedule. (tip #18),Moderate
19,Otitis Externa,Otitis Externa: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #19),Severe
20,Hypertension,Hypertension: Keep follow-up appointments and report new or worsening symptoms. (tip #20),Moderate
21,Sinus Headache,Sinus Headache: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #21),Severe
22,Rhinitis,Rhinitis: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #22),Mild
23,Heart Attack,Heart Attack: Maintain a balanced diet; avoid known triggers and allergens. (tip #23),Moderate
24,Gastritis,Gastritis: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #24),Mild
25,Angina,Angina: Ensure adequate rest and hydration; monitor symptom progression. (tip #25),Mild
26,Tendonitis,Tendonitis: Keep follow-up appointments and report new or worsening symptoms. (tip #26),Severe
27,Lyme Disease,"Lyme Disease: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #27)",Moderate
28,Insomnia,Insomnia: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #28),Severe
29,Heart Attack,Heart Attack: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #29),Mild
30,Arthritis,Arthritis: Maintain a balanced diet; avoid known triggers and allergens. (tip #30),Mild
31,Otitis Media,Otitis Media: Ensure adequate rest and hydration; monitor symptom progression. (tip #31),Moderate
32,Yeast Infection,Yeast Infection: Avoid alcohol and smoking; adhere to medication schedule. (tip #32),Severe
33,Otitis Media,Otitis Media: Avoid alcohol and smoking; adhere to medication schedule. (tip #33),Severe
34,Gastroenteritis,Gastroenteritis: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #34),Moderate
35,Food Poisoning,Food Poisoning: Maintain a balanced diet; avoid known triggers and allergens. (tip #35),Mild
36,Hypoglycemia,Hypoglycemia: Avoid alcohol and smoking; adhere to medication schedule. (tip #36),Severe
37,Stroke,"Stroke: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #37)",Severe
38,Tuberculosis,Tuberculosis: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #38),Moderate
39,Dengue Fever,Dengue Fever: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #39),Moderate
40,Tendonitis,Tendonitis: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #40),Moderate
41,Cellulitis,Cellulitis: Avoid alcohol and smoking; adhere to medication schedule. (tip #41),Mild
42,Encephalitis,Encephalitis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #42),Severe
43,Bacterial Vaginosis,Bacterial Vaginosis: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #43),Moderate
44,Malaria,Malaria: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #44),Mild
45,Rhinitis,Rhinitis: Maintain a balanced diet; avoid known triggers and allergens. (tip #45),Severe
46,Otitis Externa,Otitis Externa: Avoid alcohol and smoking; adhere to medication schedule. (tip #46),Severe
47,Dementia,Dementia: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #47),Mild
48,Dementia,Dementia: Avoid alcohol and smoking; adhere to medication schedule. (tip #48),Severe
49,Meningitis,Meningitis: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #49),Severe
50,Anxiety Disorder,Anxiety Disorder: Keep follow-up appointments and report new or worsening symptoms. (tip #50),Severe
51,Urinary Incontinence,Urinary Incontinence: Keep follow-up appointments and report new or worsening symptoms. (tip #51),Mild
52,Asthma,Asthma: Avoid alcohol and smoking; adhere to medication schedule. (tip #52),Moderate
53,Septic Arthritis,Septic Arthritis: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #53),Moderate
54,Costochondritis,Costochondritis: Keep follow-up appointments and report new or worsening symptoms. (tip #54),Severe
55,COPD Exacerbation,COPD Exacerbation: Keep follow-up appointments and report new or worsening symptoms. (tip #55),Severe
56,Pneumonia,Pneumonia: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #56),Moderate
57,Costochondritis,Costochondritis: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #57),Mild
58,Meningitis,Meningitis: Maintain a balanced diet; avoid known triggers and allergens. (tip #58),Severe
59,Gastritis,Gastritis: Keep follow-up appointments and report new or worsening symptoms. (tip #59),Severe
60,Depression,"Depression: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #60)",Mild
61,Peptic Ulcer Disease,Peptic Ulcer Disease: Avoid alcohol and smoking; adhere to medication schedule. (tip #61),Severe
62,Encephalitis,Encephalitis: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #62),Severe
63,Bronchitis,Bronchitis: Maintain a balanced diet; avoid known triggers and allergens. (tip #63),Severe
64,Gastritis,Gastritis: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #64),Mild
