medicine_id,name,category,composition,use_for,price,brand,side_effects,prescription_required
1,Ibupril1,Antipyretic,Azithromycin 250mg,Hyperthyroidism,89.32,ZenPharm,photosensitivity,False
2,Bactoamide2,Antiviral,Cetirizine 10mg,Pregnancy,92.85,HealthPlus,"constipation, drowsiness",True
3,Quinolol3,Antacid,Amoxicillin 500mg,Panic Disorder,8.75,CuraPharm,"rash, dry cough, palpitations",True
4,Ibuprazole4,Antidiabetic,Cetirizine 10mg,Liver Disease,50.97,CuraPharm,"palpitations, dry mouth, rash",True
5,Curapril5,Antihistamine,Ibuprofen 200mg,Heart Attack,39.68,PharmaCore,"diarrhea, drowsiness, dry cough",False
6,Sulfamide6,Antidepressant,Losartan 50mg,Parkinson’s Disease,31.8,HealthPlus,vomiting,False
7,Bactoolol7,Antacid,Metformin 500mg,Tension Headache,63.54,HealthPlus,"nausea, headache",True
8,Bactosone8,Antidiabetic,Paracetamol 500mg,Tuberculosis,56.04,ZenPharm,"headache, rash",False
9,Vitasone9,Analgesic,Losartan 50mg,Low Fiber Diet,10.52,NovaMed,palpitations,True
10,Lactozol10,Antibiotic,Cetirizine 10mg,Chickenpox,68.16,PharmaCore,"rash, vomiting",True
11,Ketoazole11,Antifungal,Paracetamol 500mg,Epilepsy,46.22,BioHeal,"stomach upset, constipation, vomiting",True
12,Lactomab12,Antifungal,Salbutamol 100mcg,Gastroenteritis,31.83,CuraPharm,diarrhea,True
13,Rifain13,Bronchodilator,Omeprazole 20mg,Tension Headache,99.16,CuraPharm,"diarrhea, dry cough",True
14,Vitastat14,Antibiotic,Salbutamol 100mcg,Anemia,39.82,PharmaCore,photosensitivity,False
15,Curaoxetine15,Vitamin,Salbutamol 100mcg,Flu,53.87,NovaMed,"nausea, headache, constipation",False
16,Napromab16,Antibiotic,Azithromycin 250mg,Panic Disorder,84.49,ZenPharm,palpitations,True
17,Rifastat17,Antipyretic,Paracetamol 500mg,Cluster Headache,68.23,PharmaCore,"photosensitivity, headache",False
18,Rifastat18,Antihistamine,Azithromycin 250mg,Liver Disease,27.72,AeroHealth,photosensitivity,True
19,Paraol19,Antihistamine,Cetirizine 10mg,Kidney Stones,73.31,NovaMed,"constipation, dry mouth",False
20,Hydroprazole20,Analgesic,Metformin 500mg,Kidney Disease,15.38,ZenPharm,dry mouth,True
21,Lactoprazole21,Antifungal,Salbutamol 100mcg,Irritable Bowel Syndrome,56.72,CuraPharm,"dizziness, rash",True
22,Vitaazole22,Analgesic,Azithromycin 250mg,COPD,45.78,MedicaLife,dry cough,True
23,Naprostat23,Antiviral,Metformin 500mg,Cholera,70.66,PharmaCore,photosensitivity,True
24,Oxazol24,Antidiabetic,Paracetamol 500mg,Autoimmune Disease,65.93,AeroHealth,"rash, palpitations, constipation",False
25,Metroprazole25,Vitamin,Amoxicillin 500mg,Urinary Tract Infection,31.09,ZenPharm,"dizziness, drowsiness",True
26,Naproazole26,Antifungal,Metformin 500mg,Migraine,97.95,CuraPharm,"dry cough, drowsiness, photosensitivity",True
27,Oxasone27,Antipyretic,Amoxicillin 500mg,Cataract,2.55,CuraPharm,"dizziness, constipation, nausea",True
28,Eryazole28,Antihypertensive,Amlodipine 5mg,HIV,12.17,NovaMed,"constipation, dry cough, stomach upset",False
29,Ketodine29,Antipyretic,Salbutamol 100mcg,Diabetes,52.05,NovaMed,dry mouth,True
30,Quinazole30,Antiviral,Cetirizine 10mg,Angina,53.86,HealthPlus,"nausea, constipation, diarrhea",True
31,Acepcin31,Antiviral,Paracetamol 500mg,Thyroid Disorder,14.07,BioHeal,headache,False
32,Erymab32,Antacid,Paracetamol 500mg,Vertigo,72.42,BioHeal,"palpitations, headache",True
33,Vitaamide33,Antihistamine,Ibuprofen 200mg,Sepsis,42.78,ZenPharm,"photosensitivity, constipation",True
34,Parain34,Bronchodilator,Cetirizine 10mg,Vitamin Deficiency,49.91,PharmaCore,"rash, constipation, nausea",True
35,Ibusone35,Antidiabetic,Omeprazole 20mg,Deep Vein Thrombosis,47.4,NovaMed,dry mouth,True
36,Tetraolol36,Antihistamine,Losartan 50mg,Parkinson’s Disease,83.54,BioHeal,vomiting,False
37,Oxamab37,Antihistamine,Salbutamol 100mcg,Anxiety,13.43,NovaMed,"palpitations, dizziness, nausea",True
